电影名,上映时间,时长,评分,语言,导演,主演
安昂传奇：最后的气宗,2026-07-24 (US),99,92,英语,劳伦·蒙哥马利,Eric Nam、戴夫·巴蒂斯塔
不期而遇的姐妹,2026-03-12 (MX),85,89,西班牙语,Carmen Castro,安吉丽娅·博耶、Bárbara de Regil
奇幻变身大冒险,2026-05-01 (US),102,89,英语,约翰·惠廷顿,迈克尔·B·乔丹、朱诺·坦普尔
鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025-11-14 (CN),155,87,日语,近藤光,花江夏树、樱井孝宏
肖申克的救赎,2026-08-28 (CN),142,87,英语,斯蒂芬·金,蒂姆·罗宾斯、摩根·弗里曼
教父,1972-03-24 (US),175,87,英语,马里奥·普佐,马龙·白兰度、阿尔·帕西诺
迈克尔·杰克逊：巨星之路,2026-04-24 (CN),136,87,英语,约翰·洛根,贾法尔·杰克逊、科尔曼·多明戈
挽救计划,2026-03-20 (CN),157,87,英语,克里斯托弗·米勒,瑞恩·高斯林、桑德拉·惠勒
教父2,1974-12-20 (US),200,86,英语,马里奥·普佐,阿尔·帕西诺、罗伯特·杜瓦尔
辛德勒的名单,2019-04-06 (CN),195,86,英语,托马斯·肯尼利,连姆·尼森、本·金斯利
十二怒汉,1957-04-10 (US),96,86,英语,西德尼·吕美特,马丁·巴尔萨姆、约翰·菲尔德
年轻的心,2024-12-18 (BE),97,86,荷兰语,,卢·古森斯、马里乌斯·德·赛格
蝙蝠侠：黑暗骑士,2018-04-07 (CN),152,85,英语,鲍勃·凯恩,克里斯蒂安·贝尔、希斯·莱杰
千与千寻,2019-06-21 (CN),125,85,日语,,柊瑠美、入野自由
电锯人剧场版：蕾塞篇,2025-09-19 (JP),100,85,日语,濑古浩司,户谷菊之介、楠木灯
绿里奇迹,1999-12-10 (US),189,85,英语,斯蒂芬·金,汤姆·汉克斯、大卫·摩斯
勇夺芳心,1995-10-20 (IN),190,85,印地语,,卡卓儿、沙鲁克·汗
指环王3：王者无敌,2004-03-15 (CN),263,85,英语,J.R.R.托尔金,伊利亚·伍德、伊恩·麦克莱恩
寄生虫,2019-07-28 (CN),132,85,朝鲜语,韩进元,宋康昊、李善均
星际穿越,2014-11-12 (CN),169,85,英语,乔纳森·诺兰,马修·麦康纳、安妮·海瑟薇
你的名字。,2016-12-02 (CN),106,85,日语,,神木隆之介、上白石萌音
低俗小说,2024-04-18 (CN),154,85,英语,罗杰·阿瓦里,约翰·特拉沃尔塔、塞缪尔·杰克逊
要不要做我儿子？,2023-09-21 (US),140,85,英语,,Ludwika Paleta、Juanpa Zurita
黄金三镖客,2018-04-16 (CN),161,85,意大利语,卢西亚诺·文森佐尼,克林特·伊斯特伍德、埃里·瓦拉赫
阿甘正传,2020-08-25 (CN),142,85,英语,温斯顿·格鲁姆,汤姆·汉克斯、罗宾·怀特
幸运有八只触手,2026-05-08 (US),111,85,英语,约翰·惠廷顿,莎莉·菲尔德、刘易斯·普尔曼
Selena Gomez: My Mind & Me,2022-11-02 (US),95,85,-,Paul Marchand,赛琳娜·戈麦斯、Raquelle Stevens
切腹,1962-09-15 (JP),135,85,-,安彦滉,仲代达矢、石滨朗
七武士,1954-04-26 (JP),207,85,日语,桥本忍,三船敏郎、志村乔
保护者,2026-03-06 (US),92,85,英语,Mun-Bong Seub,米拉·乔沃维奇、马修·莫迪恩
好家伙,1990-09-19 (US),145,85,英语,尼古拉斯·皮莱吉,罗伯特·德尼罗、雷·利奥塔
每个人的每件事,2019-03-10 (US),116,84,英语,Ramez Silyan,Lil Peep、Lil Tracy
萤火虫之墓,1988-04-16 (JP),89,84,日语,,辰巳努、白石绫乃
指环王1：护戒使者,2002-04-04 (CN),228,84,英语,J.R.R.托尔金,伊利亚·伍德、伊恩·麦克莱恩
美丽人生,1997-12-20 (IT),116,84,意大利语,文森佐·塞拉米,罗伯托·贝尼尼、尼可莱塔·布拉斯基
搏击俱乐部,1999-10-15 (US),139,84,英语,恰克·帕拉尼克,爱德华·诺顿、布拉德·皮特
人类,2015-09-12 (FR),191,84,法语,,
天堂电影院,2019-06-15 (CN),124,84,意大利语,瓦娜·波利,菲利浦·诺瓦雷、雅克·贝汉
上帝之城,2015-04-18 (CN),129,84,葡萄牙语,保罗·林斯,亚历桑德雷·罗德里格斯、莱安德鲁·菲尔米诺
指环王2：双塔奇兵,2003-04-25 (CN),235,84,英语,J.R.R.托尔金,伊利亚·伍德、伊恩·麦克莱恩
